----------
Target: 1496673325239,0,0.6,15
1,1496673331976,-0.166466,0.275,10.29466
1,1496673331987,-0.1668009,0.275,10.3447
1,1496673331998,-0.1671358,0.2749999,10.39473
1,1496673332009,-0.1674706,0.2749999,10.44475
1,1496673332021,-0.1678053,0.2749999,10.49477
1,1496673332032,-0.16814,0.275,10.54478
1,1496673332043,-0.1684746,0.275,10.59478
1,1496673332054,-0.1688092,0.2750001,10.64477
1,1496673332065,-0.1691437,0.2750001,10.69476
1,1496673332076,-0.1694782,0.2750001,10.74474
1,1496673332088,-0.1698126,0.275,10.7947
1,1496673332099,-0.170147,0.2749999,10.84467
1,1496673332110,-0.1704813,0.2749999,10.89462
1,1496673332121,-0.1708155,0.2749999,10.94456
1,1496673332132,-0.1711497,0.275,10.9945
1,1496673332143,-0.1714839,0.275,11.04443
1,1496673332155,-0.171818,0.2750001,11.09435
1,1496673332166,-0.172152,0.2750001,11.14427
1,1496673332177,-0.172486,0.2750001,11.19417
1,1496673332188,-0.1728199,0.275,11.24407
1,1496673332200,-0.1731538,0.275,11.29396
1,1496673332211,-0.1734876,0.2749999,11.34384
1,1496673332222,-0.1738214,0.2749999,11.39372
1,1496673332233,-0.1741551,0.2749999,11.44358
1,1496673332244,-0.1744887,0.275,11.49344
1,1496673332256,-0.1748223,0.275,11.54329
1,1496673332266,-0.1751559,0.2750001,11.59313
1,1496673332278,-0.1754894,0.2750001,11.64297
1,1496673332289,-0.1758228,0.275,11.69279
1,1496673332300,-0.1761562,0.275,11.74261
1,1496673332311,-0.1764895,0.2749999,11.79242
1,1496673332322,-0.1768228,0.2749999,11.84223
1,1496673332333,-0.177156,0.2749999,11.89202
1,1496673332345,-0.1774892,0.275,11.94181
1,1496673332356,-0.1778223,0.275,11.99159
1,1496673332367,-0.1781554,0.2750001,12.04136
1,1496673332378,-0.1784884,0.2750001,12.09112
1,1496673332389,-0.1788214,0.2750001,12.14088
1,1496673332401,-0.1791543,0.275,12.19062
1,1496673332412,-0.1794871,0.275,12.24036
1,1496673332423,-0.1798199,0.2749999,12.29009
1,1496673332434,-0.1801526,0.2749999,12.33982
1,1496673332445,-0.1804853,0.2749999,12.38953
1,1496673332456,-0.180818,0.275,12.43924
1,1496673332467,-0.1811505,0.275,12.48894
1,1496673332479,-0.1814831,0.2750001,12.53863
1,1496673332490,-0.1818155,0.2750001,12.58832
1,1496673332501,-0.1821479,0.275,12.638
1,1496673332512,-0.1824803,0.275,12.68766
1,1496673332523,-0.1828126,0.2749999,12.73732
1,1496673332535,-0.1831449,0.2749999,12.78698
1,1496673332546,-0.1834771,0.2749999,12.83662
1,1496673332557,-0.1838092,0.275,12.88626
1,1496673332568,-0.1841413,0.275,12.93589
1,1496673332579,-0.1844734,0.2750001,12.98551
1,1496673332590,-0.1848054,0.2750001,13.03512
1,1496673332601,-0.1851373,0.2750001,13.08473
1,1496673332613,-0.1854692,0.275,13.13433
1,1496673332624,-0.185801,0.275,13.18392
1,1496673332635,-0.1861328,0.2749999,13.2335
1,1496673332646,-0.1864645,0.2749999,13.28307
1,1496673332657,-0.1867962,0.2749999,13.33264
1,1496673332669,-0.1871278,0.275,13.3822
1,1496673332680,-0.1874593,0.275,13.43175
1,1496673332691,-0.1877909,0.2750001,13.48129
1,1496673332702,-0.1881223,0.2750001,13.53082
1,1496673332713,-0.1884537,0.275,13.58035
1,1496673332724,-0.188785,0.275,13.62987
1,1496673332735,-0.1891163,0.2749999,13.67938
1,1496673332747,-0.1894476,0.2749999,13.72888
1,1496673332758,-0.1897787,0.2749999,13.77838
1,1496673332769,-0.1901099,0.275,13.82787
